Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
Red,15,AUC_Ratio,Normal vs Congestion,0.482404513,0.379683817,0.573480237,138
Red/IR_Ratio,9,D_AUC_norm_ratio,Ischaemia vs Congestion,0.482215048,0.470704665,0.494869057,8346
Red/IR_Ratio,15,D_AUC_norm_ratio,Normal vs Ischaemia,0.478705022,0.466172406,0.490495085,10938
Red,9,D_AUC_norm,Normal vs Congestion,0.478696998,0.383192109,0.56971811,146
Red/IR_Ratio,9,D_AUC_norm_ratio,Normal vs Congestion,0.470380097,0.453968059,0.484292781,6354
Red/IR_Ratio,15,D_AUC_norm_ratio,Normal vs Congestion,0.468544169,0.458878778,0.47876476,10350
Red/IR_Ratio,3,S_AUC_norm_ratio,Ischaemia vs Congestion,0.46418345,0.449631798,0.478870772,5116
Red,21,Amp_norm,Normal vs Congestion,0.460975493,0.386975637,0.534962626,209
Red,9,S_AUC_norm,Normal vs Congestion,0.459982401,0.382681472,0.539801842,146
Red,15,S_AUC_norm,Normal vs Congestion,0.459876142,0.364455901,0.558323831,138
IR,21,S_AUC_norm,Normal vs Congestion,0.459642025,0.360570627,0.548159353,142
Red,9,AUC_Ratio,Normal vs Ischaemia,0.457596755,0.375500536,0.547364918,148
Red/IR_Ratio,21,S_AUC_norm_ratio,Normal vs Ischaemia,0.45319729,0.442576042,0.464302211,10226
Red,9,Pulse_Area_norm,Normal vs Congestion,0.452955201,0.366438403,0.535446817,146
Red,15,S_AUC_norm,Ischaemia vs Congestion,0.450745333,0.36044914,0.548045351,142
Red,15,Amp_norm,Normal vs Congestion,0.449349287,0.364364996,0.522177676,200
Red,21,AUC_Ratio,Normal vs Ischaemia,0.446789713,0.362875155,0.537339501,143
Red/IR_Ratio,9,S_AUC_norm_ratio,Normal vs Congestion,0.446265962,0.431393347,0.460041421,6354
IR,3,AUC_Ratio,Normal vs Ischaemia,0.444020267,0.306026388,0.591876261,65
Red/IR_Ratio,21,Pulse_Area_norm_ratio,Normal vs Ischaemia,0.442379485,0.433214503,0.454480441,10226
Red/IR_Ratio,21,D_AUC_norm_ratio,Normal vs Ischaemia,0.441060137,0.432341103,0.452782121,10226
Red/IR_Ratio,15,S_AUC_norm_ratio,Normal vs Congestion,0.437514751,0.426837401,0.45023252,10350
Red/IR_Ratio,15,Pulse_Area_norm_ratio,Normal vs Congestion,0.4353604,0.425177752,0.445064436,10350
IR,3,S_AUC_norm,Normal vs Congestion,0.43300119,0.27790607,0.582571059,71
Red,21,Pulse_Area_norm,Ischaemia vs Congestion,0.431348151,0.331879022,0.518965392,141
Red/IR_Ratio,9,Pulse_Area_norm_ratio,Normal vs Ischaemia,0.430565196,0.419429018,0.442762013,8040
IR,15,AUC_Ratio,Ischaemia vs Congestion,0.427291474,0.339281385,0.523616722,152
Red,15,AUC_Ratio,Normal vs Ischaemia,0.427143449,0.339570477,0.505412278,142
IR,21,AUC_Ratio,Normal vs Ischaemia,0.426490467,0.336588339,0.529494318,143
Red,21,D_AUC_norm,Ischaemia vs Congestion,0.425982913,0.332597387,0.518132188,141
Red/IR_Ratio,21,Red_IR_amp_norm_ratio,Normal vs Congestion,0.417735827,0.411021401,0.425066978,21636
Red/IR_Ratio,9,Pulse_Area_norm_ratio,Normal vs Congestion,0.415839283,0.39917836,0.4291635,6354
Red,9,Amp_norm,Normal vs Congestion,0.410269895,0.343643991,0.481919711,210
Red,15,Pulse_Area_norm,Ischaemia vs Congestion,0.395284182,0.311816215,0.499852374,142
Red,9,D_AUC_norm,Ischaemia vs Congestion,0.393225882,0.313245,0.475553849,150
Red/IR_Ratio,15,Pulse_Area_norm_ratio,Normal vs Ischaemia,0.389946807,0.378963473,0.40215728,10938
Red,9,S_AUC_norm,Ischaemia vs Congestion,0.385449083,0.306641053,0.469182052,150
Red/IR_Ratio,15,S_AUC_norm_ratio,Normal vs Ischaemia,0.373959696,0.364692397,0.386480369,10938
Red,15,D_AUC_norm,Ischaemia vs Congestion,0.37051745,0.263673669,0.467073413,142
Red/IR_Ratio,3,D_AUC_norm_ratio,Normal vs Congestion,0.359455607,0.341145427,0.37622068,5221
Red/IR_Ratio,9,Red_IR_amp_norm_ratio,Normal vs Congestion,0.357806702,0.348429732,0.36682336,15858
IR,21,S_AUC_norm,Ischaemia vs Congestion,0.357180189,0.256461634,0.459577789,141
Red/IR_Ratio,15,Red_IR_amp_norm_ratio,Normal vs Congestion,0.349333299,0.34276048,0.357130581,21200
Red/IR_Ratio,3,Pulse_Area_norm_ratio,Normal vs Congestion,0.340387576,0.323820287,0.357048138,5221
Red,21,Amp_norm,Ischaemia vs Congestion,0.338448519,0.264093788,0.409069823,205
Red,9,Pulse_Area_norm,Ischaemia vs Congestion,0.333091733,0.246390647,0.42306409,150
Red/IR_Ratio,9,S_AUC_norm_ratio,Normal vs Ischaemia,0.329187574,0.316670879,0.340899137,8040
Red/IR_Ratio,3,D_AUC_norm_ratio,Ischaemia vs Congestion,0.321667857,0.306970772,0.336560207,5116
Red,15,Amp_norm,Ischaemia vs Congestion,0.319837084,0.240529311,0.398404994,204
Red,3,S_AUC_norm,Ischaemia vs Congestion,0.318896026,0.22722356,0.412678855,146
IR,9,AUC_Ratio,Ischaemia vs Congestion,0.31037528,0.207506614,0.416077667,111
Red,3,D_AUC_norm,Ischaemia vs Congestion,0.309967797,0.219019758,0.396060945,146
IR,15,D_AUC_norm,Ischaemia vs Congestion,0.308171191,0.215460215,0.388851799,152
Red/IR_Ratio,9,Red_IR_amp_norm_ratio,Normal vs Ischaemia,0.298870865,0.290570423,0.308334392,18280
Red/IR_Ratio,3,Pulse_Area_norm_ratio,Ischaemia vs Congestion,0.294471211,0.278846931,0.309196465,5116
Red,3,Pulse_Area_norm,Ischaemia vs Congestion,0.257527524,0.170939723,0.346826813,146
Red/IR_Ratio,15,Red_IR_amp_norm_ratio,Normal vs Ischaemia,0.237113405,0.231067536,0.242575667,22036
IR,15,S_AUC_norm,Ischaemia vs Congestion,0.236047334,0.153328716,0.315874453,152
IR,15,Pulse_Area_norm,Ischaemia vs Congestion,0.232502178,0.146351933,0.30988126,152
IR,21,D_AUC_norm,Ischaemia vs Congestion,0.228562129,0.14737594,0.325423822,141
Red/IR_Ratio,21,Red_IR_amp_norm_ratio,Normal vs Ischaemia,0.216877658,0.210743985,0.222524621,21636
IR,21,Pulse_Area_norm,Ischaemia vs Congestion,0.202182202,0.119018218,0.286049874,141
Red,9,Amp_norm,Ischaemia vs Congestion,0.190079414,0.12582576,0.257368698,214
IR,3,Pulse_Area_norm,Ischaemia vs Congestion,0.172034213,0.072038362,0.286591079,70
Red/IR_Ratio,3,Red_IR_amp_norm_ratio,Normal vs Congestion,0.148190386,0.141116496,0.156388155,14076
IR,9,S_AUC_norm,Ischaemia vs Congestion,0.145628749,0.076776919,0.220891047,111
Red/IR_Ratio,3,Red_IR_amp_norm_ratio,Ischaemia vs Congestion,0.143543313,0.136300239,0.151090754,14076
Red,3,Amp_norm,Ischaemia vs Congestion,0.132955237,0.073936232,0.194972333,210
IR,3,AUC_Ratio,Ischaemia vs Congestion,0.131907147,0.051521601,0.219426407,70
IR,3,Amp_norm,Ischaemia vs Congestion,0.131638657,0.074651419,0.201631559,134
IR,9,D_AUC_norm,Ischaemia vs Congestion,0.127827032,0.047846644,0.221450499,111
IR,9,Pulse_Area_norm,Ischaemia vs Congestion,0.117485423,0.044539338,0.201629986,111
IR,3,S_AUC_norm,Ischaemia vs Congestion,0.110069842,0.036117024,0.185906888,70
IR,21,Amp_norm,Ischaemia vs Congestion,0.093074611,0.048572495,0.141849897,205
IR,3,AUC_Ratio,Normal vs Congestion,0.087935852,0.023783391,0.188134236,71
IR,15,Amp_norm,Ischaemia vs Congestion,0.085021294,0.037382464,0.145177747,214
IR,9,Amp_norm,Ischaemia vs Congestion,0.022351248,0,0.062121046,175
